newbie|Hello @World|125
world|@newbie 'sup|43
hothead|Hey, anyone know the number for emergency services? #myhouseisonfire|36
neo_11_0|Bielefeld is a lie made up by the government to keep you under their control! Wake up to the conspiracy! #thereisnobielefeld #wakeuppeople|0
goforwalk|@neo_11_0 I've been to bielefeld! it's not a lie!|8
neo_11_0|@goforwalk Then you're part of the consiparacy! The lizard people who run the world paid you off! #lizardsruletheworld #wakeuppeople|0
veggie|i like cabbage|8
potatoman|@cabbage :)|8
oldman36|I've had a bit of a tumble and can't get up. Who can I call to help?|4
itguy|@hothead @oldman56 emergency services is 01189998819991197253. or you can send them an email - thats what i did!|725
hothead|@itguy Thanks|2
paintcant|Literally watching paint dry and timing it #ihatemyjob|15
deepthink|how much wood could a woodchuck chuck if a woodchuck could chuck wood? would a woodchuck chuck wood if a woodchuck could chuck wood? #think|42
neo_11_0|@veggie Cabbage is full of brain control chemicals to make you the pawn of the mole people! #wakeuppeople|0
notspam|I opened an account with #UoRFIRED and I got 50% interest rate on my current account! #amazing #awesome #money #hashtag #account #quickcash|8
uorfired|@notspam Glad you like being a customer|8
goatracer|@paintcant my job is watching goats eat their way through a pile of grass. you don't know you're born #goats #ihatemyjob|14
bob|Hey, @alice ;) want to go over the #cryptography assignment later?|6
eve|@bob who is @alice? why are you talking #cryptography with her?|2
alice|@bob 83hf839w0934jc91mc23jf9234j ;-)|34
bob|@alice kg893010f93md90123mf93l3031 :p|56
eve|@bob WHAT ARE YOU SAYING ABOUT ME YOU ARE THE WORST BOYFRIEND EVER #ihatealice #cryptographyisstupid|8
ghcq|@eve We agree #cryptographyisstupid|0
guide|What's the answer to the ultimate question? Answer with your upvotes :) #ultimatequestion|43
guide|Woo! it worked! Thanks guys!|6
anon|@guide upvoted, screw you #fireflywasbetter|9
neo_11_0|look at the conspriacies! they all have 8 upvotes #nomoreupvotes #wakeuppeople|8
